urn:val:adrpn:ples,en,,"Scheldt Plains Natural Park"
urn:val:adrpn:ples,de,,"Naturpark Scheldebene"
urn:val:adrpn:vihe,fr,,"Parc Naturel Viroin-Hermeton"
urn:val:adrpn:vihe,nl,,"Natuurpark Viroin-Hermeton"
urn:val:adrpn:vihe,en,,"Viroin-Hermeton Natural Park"
urn:val:adrpn:vihe,de,,"Viroin-Hermeton Naturpark"
urn:val:adrpn:hfei,fr,,"Parc Naturel national Hautes Fagnes – Eifel"
urn:val:adrpn:hfei,nl,,"Nationaal natuurpark Hoge Venen – Eifel"
urn:val:adrpn:hfei,en,,"Hautes Fagnes National Nature Park – Eifel"
urn:val:adrpn:hfei,de,,"Hautes Fagnes Nationaler Naturpark – Eifel"
urn:val:adrpn:vaat,fr,,"Parc Naturel de la Vallée de l’Attert"
urn:val:adrpn:vaat,nl,,"Natuurpark Attert Valley"
urn:val:adrpn:vaat,en,,"Attert Valley Natural Park"
urn:val:adrpn:vaat,de,,"Naturpark Attert Valley"
urn:val:adrpn:vabm,fr,,"Parc Naturel des Vallées de la Burdinale et de la Méhaigne"
urn:val:adrpn:vabm,nl,,"Burdinale en Méhaigne Valleys Natural Park"
urn:val:adrpn:vabm,en,,"Burdinale and Méhaigne Valleys Natural Park"
urn:val:adrpn:vabm,de,,"Naturpark Burdinale und Méhaigne Valleys"
urn:val:adrpn:deou,fr,,"Parc Naturel des Deux-Ourthes"
urn:val:adrpn:deou,nl,,"Natuurpark Deux-Ourthes"
urn:val:adrpn:deou,en,,"Deux-Ourthes Natural Park"
urn:val:adrpn:deou,de,,"Naturpark Deux-Ourthes"
urn:val:adrpn:hsfa,fr,,"Parc Naturel de la Haute-Sûre et de la forêt d’Anlier"
urn:val:adrpn:hsfa,nl,,"Natuurpark Haute-Sûre en Woud van Anlier"
urn:val:adrpn:hsfa,en,,"Haute-Sûre and Anlier Forest Natural Park"
urn:val:adrpn:hsfa,de,,"Naturpark Haute-Sûre und Anlier Forest"
urn:val:adrpn:gaum,fr,,"Parc Naturel de Gaume"
urn:val:adrpn:gaum,nl,,"Gaume natuurpark"
urn:val:adrpn:gaum,en,,"Gaume Natural Park"
urn:val:adrpn:gaum,de,,"Naturpark Gaume"
urn:val:typecirc:boucle,fr,,"En boucle"
urn:val:typecirc:boucle,nl,,Lus
urn:val:typecirc:boucle,en,,Loop
urn:val:typecirc:boucle,de,,Hügelig
urn:val:typecirc:lineaire,fr,,Linéaire
urn:val:typecirc:lineaire,nl,,Lineair
urn:val:typecirc:lineaire,en,,Linear
urn:val:typecirc:lineaire,de,,Linear
urn:val:typecirc:ptnoeud,fr,,Points-noeuds
urn:val:typecirc:ptnoeud,nl,,Knooppunten
urn:val:typecirc:ptnoeud,en,,"Connection points"
urn:val:typecirc:ptnoeud,de,,Knotenpunkte
urn:val:catcirc:loc,fr,,"Circuit local"
urn:val:catcirc:reg,fr,,"Circuit régional"
urn:val:catcirc:int,fr,,"Circuit international"
urn:val:reco:nreco,fr,,"Non reconnu"
urn:val:reco:nreco,nl,,"Niet geclassificeerd"
urn:val:reco:nreco,en,,Unclassified
urn:val:reco:nreco,de,,"Nicht klassifiziert"
urn:val:reco:ecreco,fr,,"En cours de reconnaissance"
urn:val:reco:ecreco,nl,,"Erkenning aan de gang"
urn:val:reco:ecreco,en,,"Awaiting recognition"
urn:val:reco:ecreco,de,,"In der Klassifizierungsphase"
urn:val:reco:reco,fr,,Reconnu
urn:val:reco:reco,nl,,Erkend
urn:val:reco:reco,en,,Recognised
urn:val:reco:reco,de,,Anerkannt
urn:val:signal:dec07:n1:bleu,fr,,"N1 (Piéton) - Bleu"
urn:val:signal:dec07:n1:bleu,nl,,"N1 (Voetganger) - Blauw"
urn:val:signal:dec07:n1:bleu,en,,"N1 (Pedestrian) - Blue"
urn:val:signal:dec07:n1:bleu,de,,"N1 (Fußgänger)-blau"
urn:val:signal:dec07:n1:jaune,fr,,"N1 (Piéton) - Jaune"
urn:val:signal:dec07:n1:jaune,nl,,"N1 (Voetganger) - Geel"
urn:val:signal:dec07:n1:jaune,en,,"N1 (Pedestrian) - Yellow"
urn:val:signal:dec07:n1:jaune,de,,"N1 (Fußgänger)-gelb"
urn:val:signal:dec07:n1:rouge,fr,,"N1 (Piéton) - Rouge"
urn:val:signal:dec07:n1:rouge,nl,,"N1 (Voetganger) - Rood"
urn:val:signal:dec07:n1:rouge,en,,"N1 (Pedestrian) - Red"
urn:val:signal:dec07:n1:rouge,de,,"N1 (Fußgänger)-rot"
urn:val:signal:dec07:n1:vert,fr,,"N1 (Piéton) - Vert"
urn:val:signal:dec07:n1:vert,nl,,"N1 (Voetganger) - Groen"
urn:val:signal:dec07:n1:vert,en,,"N1 (Pedestrian) - Green"
urn:val:signal:dec07:n1:vert,de,,"N1 (Fußgänger)-grün"
urn:val:signal:dec07:n2:bleu,fr,,"N2 (Vélotouriste) - Bleu"
urn:val:signal:dec07:n2:bleu,nl,,"N2 (Fietser) - Blauw"
urn:val:signal:dec07:n2:bleu,en,,"N2 (Cycle tourist) - Blue"
urn:val:signal:dec07:n2:bleu,de,,"N2 (Fahrradtourist)-blau"
urn:val:signal:dec07:n2:jaune,fr,,"N2 (Vélotouriste) - Jaune"
urn:val:signal:dec07:n2:jaune,nl,,"N2 (Fietser) - Geel"
urn:val:signal:dec07:n2:jaune,en,,"N2 (Cycle tourist) - Yellow"
urn:val:signal:dec07:n2:jaune,de,,"N2 (Fahrradtourist)-gelb"
urn:val:signal:dec07:n2:rouge,fr,,"N2 (Vélotouriste) - Rouge"
urn:val:signal:dec07:n2:rouge,nl,,"N2 (Fietser) - Rood"
urn:val:signal:dec07:n2:rouge,en,,"N2 (Cycle tourist) - Red"
urn:val:signal:dec07:n2:rouge,de,,"N2 (Fahrradtourist)-rot"
urn:val:signal:dec07:n2:vert,fr,,"N2 (Vélotouriste) - Vert"
urn:val:signal:dec07:n2:vert,nl,,"N2 (Fietser) - Groen"
