nom$estActiveUrn$estActiveUrn_fr$estActiveUrn_nl$estActiveUrn_en$estActiveUrn_de$typeOffre$typeOffre_fr$typeOffre_nl$typeOffre_en$typeOffre_de$adresse1_rue$adresse1_numero$adresse1_boite$adresse1_idIns$adresse1_ins$adresse1_cp$adresse1_localite_fr$adresse1_localite_nl$adresse1_localite_en$adresse1_localite_de$adresse1_commune_fr$adresse1_commune_nl$adresse1_commune_en$adresse1_commune_de$adresse1_lieuPrecis$adresse1_provinceUrn_urn$adresse1_provinceUrn_fr$adresse1_provinceUrn_nl$adresse1_provinceUrn_en$adresse1_provinceUrn_de$adresse1_pays_urn$adresse1_pays_fr$adresse1_pays_nl$adresse1_pays_en$adresse1_pays_de$adresse1_lambertX$adresse1_lambertY$adresse1_latitude$adresse1_longitude$adresse1_altitude$adresse1_noaddress$adresse1_parcNaturel_label$adresse1_parcNaturel_idPn$adresse1_organisme$adresse1_organisme_idMdt
"Dans l'intimité d'une Forêt"$urn:val:etatedit:30$Publiable$Publicabel$Publishable$Publizierbar$8$Itinéraire$Route$Route$Route$"Rue de Luxembourg"$3$$1167$85046$6720$Habay-la-Neuve$Habay-la-Neuve$Habay-la-Neuve$Habay-la-Neuve$Habay$Habay$Habay$Habay$"Syndicat d'Initiative"$urn:val:adrprov:bewlx$Luxembourg$Luxemburg$Luxembourg$Luxemburg$urn:val:adrpays:be$Belgique$België$Belgium$Belgien$242130,71875$46960,3671875$49,72769$5,64528$404,87457$false$"Parc naturel de la Haute-Sûre et de la forêt d'Anlier"$10$"Haute-Süre Forêt d'Anlier en Ardenne"$30
"Roche Perette"$urn:val:etatedit:30$Publiable$Publicabel$Publishable$Publizierbar$8$Itinéraire$Route$Route$Route$$$$1158$85011$6824$Chassepierre$Chassepierre$Chassepierre$Chassepierre$Florenville$Florenville$Florenville$Florenville$Mèchenantfontaine$urn:val:adrprov:bewlx$Luxembourg$Luxemburg$Luxembourg$Luxemburg$urn:val:adrpays:be$Belgique$België$Belgium$Belgien$214550,03125$44277,19140625$49,7072$5,26235$283,13232$false$"Parc Naturel de Gaume"$11$Gaume$10
"PR 18-La Glacière"$urn:val:etatedit:30$Publiable$Publicabel$Publishable$Publizierbar$8$Itinéraire$Route$Route$Route$$$$1034$83013$6997$Erezée$Erezée$Erezée$Erezée$Erezée$Erezée$Erezée$Erezée$"Gare du Tramway Touristique de l'Aisne - rue du Pont d'Erezée 1a"$urn:val:adrprov:bewlx$Luxembourg$Luxemburg$Luxembourg$Luxemburg$urn:val:adrpays:be$Belgique$België$Belgium$Belgien$233737,96875$109884,4375$50,29457$5,54271$301,5579$false$"Hors Parcs"$1$"Cœur de l'Ardenne, au fil de l'Ourthe & de l'Aisne"$23
"Sur le Hé"$urn:val:etatedit:30$Publiable$Publicabel$Publishable$Publizierbar$8$Itinéraire$Route$Route$Route$$$$1056$83044$6987$Marcourt$Marcourt$Marcourt$Marcourt$Rendeux$Rendeux$Rendeux$Rendeux$"Syndicat d'Initiative"$urn:val:adrprov:bewlx$Luxembourg$Luxemburg$Luxembourg$Luxemburg$urn:val:adrpays:be$Belgique$België$Belgium$Belgien$232833,421875$100962,7421875$50,2145$5,52806$226,31705$false$"Hors Parcs"$1$"Cœur de l'Ardenne, au fil de l'Ourthe & de l'Aisne"$23
"Les Fonds de Saux"$urn:val:etatedit:30$Publiable$Publicabel$Publishable$Publizierbar$8$Itinéraire$Route$Route$Route$$$$1158$85011$6824$Chassepierre$Chassepierre$Chassepierre$Chassepierre$Florenville$Florenville$Florenville$Florenville$"Barrière de Chassepierre"$urn:val:adrprov:bewlx$Luxembourg$Luxemburg$Luxembourg$Luxemburg$urn:val:adrpays:be$Belgique$België$Belgium$Belgien$214550,03125$44277,19140625$49,7072$5,26235$283,13232$false$"Parc Naturel de Gaume"$11$Gaume$10
"PR 19-Circuit ""Trou du Loup"""$urn:val:etatedit:30$Publiable$Publicabel$Publishable$Publizierbar$8$Itinéraire$Route$Route$Route$$$$1034$83013$6997$Erezée$Erezée$Erezée$Erezée$Erezée$Erezée$Erezée$Erezée$"Chocolaterie Defroidmont - Briscol 19/A"$urn:val:adrprov:bewlx$Luxembourg$Luxemburg$Luxembourg$Luxemburg$urn:val:adrpays:be$Belgique$België$Belgium$Belgien$233737,96875$109884,4375$50,29457$5,54271$301,5579$false$"Hors Parcs"$1$"Cœur de l'Ardenne, au fil de l'Ourthe & de l'Aisne"$23
"Le tour de Daviha"$urn:val:etatedit:30$Publiable$Publicabel$Publishable$Publizierbar$8$Itinéraire$Route$Route$Route$$$$1158$85011$6824$Chassepierre$Chassepierre$Chassepierre$Chassepierre$Florenville$Florenville$Florenville$Florenville$"centre  de Chassepierre ou de Laiche"$urn:val:adrprov:bewlx$Luxembourg$Luxemburg$Luxembourg$Luxemburg$urn:val:adrpays:be$Belgique$België$Belgium$Belgien$214550,03125$44277,19140625$49,7072$5,26235$283,13232$false$"Parc Naturel de Gaume"$11$Gaume$10
"La Boverie"$urn:val:etatedit:30$Publiable$Publicabel$Publishable$Publizierbar$8$Itinéraire$Route$Route$Route$$$$1056$83044$6987$Marcourt$Marcourt$Marcourt$Marcourt$Rendeux$Rendeux$Rendeux$Rendeux$"Syndicat d'Initiative"$urn:val:adrprov:bewlx$Luxembourg$Luxemburg$Luxembourg$Luxemburg$urn:val:adrpays:be$Belgique$België$Belgium$Belgien$232833,421875$100962,7421875$50,2145$5,52806$226,31705$false$"Hors Parcs"$1$"Cœur de l'Ardenne, au fil de l'Ourthe & de l'Aisne"$23
"Les Recours"$urn:val:etatedit:30$Publiable$Publicabel$Publishable$Publizierbar$8$Itinéraire$Route$Route$Route$$$$1158$85011$6824$Chassepierre$Chassepierre$Chassepierre$Chassepierre$Florenville$Florenville$Florenville$Florenville$"Les 4 chênes et Méchenantfontaine"$urn:val:adrprov:bewlx$Luxembourg$Luxemburg$Luxembourg$Luxemburg$urn:val:adrpays:be$Belgique$België$Belgium$Belgien$214550,03125$44277,19140625$49,7072$5,26235$283,13232$false$"Parc Naturel de Gaume"$11$Gaume$10
"Au Fil de l'Aisne et du Temps"$urn:val:etatedit:30$Publiable$Publicabel$Publishable$Publizierbar$8$Itinéraire$Route$Route$Route$"Rue du Pont-d'Erezée"$1$$1069$83013$6997$Soy$Soy$Soy$Soy$Erezée$Erezée$Erezée$Erezée$"Bureau du R.S.I.E et gare T.T.A - Lieu-dit ""Pont d'Erezée"""$urn:val:adrprov:bewlx$Luxembourg$Luxemburg$Luxembourg$Luxemburg$urn:val:adrpays:be$Belgique$België$Belgium$Belgien$234203,75$109231,9296875$50,28864$5,5491$$false$"Hors Parcs"$1$"Cœur de l'Ardenne, au fil de l'Ourthe & de l'Aisne"$23
"Bois Cirou, Bois Mayâ"$urn:val:etatedit:30$Publiable$Publicabel$Publishable$Publizierbar$8$Itinéraire$Route$Route$Route$$$$3112$83044$6987$Marcouray$Marcouray$Marcouray$Marcouray$Rendeux$Rendeux$Rendeux$Rendeux$Eglise$urn:val:adrprov:bewlx$Luxembourg$Luxemburg$Luxembourg$Luxemburg$urn:val:adrpays:be$Belgique$België$Belgium$Belgien$232403,28125$100942,453125$50,21438$5,52203$199,05942$false$"Hors Parcs"$1$"Cœur de l'Ardenne, au fil de l'Ourthe & de l'Aisne"$23
"La boucle de Durbuy"$urn:val:etatedit:30$Publiable$Publicabel$Publishable$Publizierbar$8$Itinéraire$Route$Route$Route$$$$1033$83012$6940$Durbuy$Durbuy$Durbuy$Durbuy$Durbuy$Durbuy$Durbuy$Durbuy$"Place aux Foires"$urn:val:adrprov:bewlx$Luxembourg$Luxemburg$Luxembourg$Luxemburg$urn:val:adrpays:be$Belgique$België$Belgium$Belgien$227501,46875$116266,875$50,3528$5,45651$163,39496$false$"Hors Parcs"$1$Famenne-Ardenne$35
Holset$urn:val:etatedit:30$Publiable$Publicabel$Publishable$Publizierbar$8$Itinéraire$Route$Route$Route$$$$1037$83012$6940$Grandhan$Grandhan$Grandhan$Grandhan$Durbuy$Durbuy$Durbuy$Durbuy$$urn:val:adrprov:bewlx$Luxembourg$Luxemburg$Luxembourg$Luxemburg$urn:val:adrpays:be$Belgique$België$Belgium$Belgien$228591,1875$114733,609375$50,33887$5,4715$190,43045$false$"Hors Parcs"$1$Famenne-Ardenne$35
"Les Eneilles"$urn:val:etatedit:30$Publiable$Publicabel$Publishable$Publizierbar$8$Itinéraire$Route$Route$Route$$$$1037$83012$6940$Grandhan$Grandhan$Grandhan$Grandhan$Durbuy$Durbuy$Durbuy$Durbuy$$urn:val:adrprov:bewlx$Luxembourg$Luxemburg$Luxembourg$Luxemburg$urn:val:adrpays:be$Belgique$België$Belgium$Belgien$228591,1875$114733,609375$50,33887$5,4715$190,43045$false$"Hors Parcs"$1$Famenne-Ardenne$35
"Petit circuit des pierres de légendes"$urn:val:etatedit:30$Publiable$Publicabel$Publishable$Publizierbar$8$Itinéraire$Route$Route$Route$$$$1075$83012$6940$Wéris$Wéris$Wéris$Wéris$Durbuy$Durbuy$Durbuy$Durbuy$"Place A. Soreil"$urn:val:adrprov:bewlx$Luxembourg$Luxemburg$Luxembourg$Luxemburg$urn:val:adrpays:be$Belgique$België$Belgium$Belgien$232808,5$113399,703125$50,3263$5,53044$277,30426$false$"Hors Parcs"$1$Famenne-Ardenne$35
"Bois d'Arlogne"$urn:val:etatedit:30$Publiable$Publicabel$Publishable$Publizierbar$8$Itinéraire$Route$Route$Route$$$$2904$83044$6987$Devantave$Devantave$Devantave$Devantave$Rendeux$Rendeux$Rendeux$Rendeux$Eglise$urn:val:adrprov:bewlx$Luxembourg$Luxemburg$Luxembourg$Luxemburg$urn:val:adrpays:be$Belgique$België$Belgium$Belgien$232403,28125$100942,453125$50,21438$5,52203$199,05942$false$"Hors Parcs"$1$"Cœur de l'Ardenne, au fil de l'Ourthe & de l'Aisne"$23
Corfeu$urn:val:etatedit:30$Publiable$Publicabel$Publishable$Publizierbar$8$Itinéraire$Route$Route$Route$$$$1037$83012$6940$Grandhan$Grandhan$Grandhan$Grandhan$Durbuy$Durbuy$Durbuy$Durbuy$$urn:val:adrprov:bewlx$Luxembourg$Luxemburg$Luxembourg$Luxemburg$urn:val:adrpays:be$Belgique$België$Belgium$Belgien$228591,1875$114733,609375$50,33887$5,4715$190,43045$false$"Hors Parcs"$1$Famenne-Ardenne$35
"Al Basse Hé"$urn:val:etatedit:30$Publiable$Publicabel$Publishable$Publizierbar$8$Itinéraire$Route$Route$Route$$$$1046$83012$6941$Heyd$Heyd$Heyd$Heyd$Durbuy$Durbuy$Durbuy$Durbuy$"Col du Rideux"$urn:val:adrprov:bewlx$Luxembourg$Luxemburg$Luxembourg$Luxemburg$urn:val:adrpays:be$Belgique$België$Belgium$Belgien$234870,296875$115701,5234375$50,3467$5,55991$262,33206$false$"Hors Parcs"$1$Famenne-Ardenne$35
"Bois de Tave"$urn:val:etatedit:30$Publiable$Publicabel$Publishable$Publizierbar$8$Itinéraire$Route$Route$Route$$$$1027$83044$6987$Beffe$Beffe$Beffe$Beffe$Rendeux$Rendeux$Rendeux$Rendeux$Eglise$urn:val:adrprov:bewlx$Luxembourg$Luxemburg$Luxembourg$Luxemburg$urn:val:adrpays:be$Belgique$België$Belgium$Belgien$232455,875$104349,6484375$50,245$5,52351$327,83023$false$"Hors Parcs"$1$"Cœur de l'Ardenne, au fil de l'Ourthe & de l'Aisne"$23
"Bois de Grandhan"$urn:val:etatedit:30$Publiable$Publicabel$Publishable$Publizierbar$8$Itinéraire$Route$Route$Route$$$$1037$83012$6940$Grandhan$Grandhan$Grandhan$Grandhan$Durbuy$Durbuy$Durbuy$Durbuy$$urn:val:adrprov:bewlx$Luxembourg$Luxemburg$Luxembourg$Luxemburg$urn:val:adrpays:be$Belgique$België$Belgium$Belgien$228591,1875$114733,609375$50,33887$5,4715$190,43045$false$"Hors Parcs"$1$Famenne-Ardenne$35
"Hé des Pourceaux"$urn:val:etatedit:30$Publiable$Publicabel$Publishable$Publizierbar$8$Itinéraire$Route$Route$Route$$$$1046$83012$6941$Heyd$Heyd$Heyd$Heyd$Durbuy$Durbuy$Durbuy$Durbuy$"Col du Rideux"$urn:val:adrprov:bewlx$Luxembourg$Luxemburg$Luxembourg$Luxemburg$urn:val:adrpays:be$Belgique$België$Belgium$Belgien$234870,296875$115701,5234375$50,3467$5,55991$262,33206$false$"Hors Parcs"$1$Famenne-Ardenne$35
"Promenade des 3 Clochers"$urn:val:etatedit:30$Publiable$Publicabel$Publishable$Publizierbar$8$Itinéraire$Route$Route$Route$"Chemin du Moulin"$3$$973$81013$6630$Martelange$Martelange$Martelange$Martelingen$Martelange$Martelange$Martelange$Martelingen$"Syndicat d'Initiative"$urn:val:adrprov:bewlx$Luxembourg$Luxemburg$Luxembourg$Luxemburg$urn:val:adrpays:be$Belgique$België$Belgium$Belgien$248399,765625$58514,9375$49,83055$5,73516$369,6279$false$"Parc naturel de la Haute-Sûre et de la forêt d'Anlier"$10$"Haute-Süre Forêt d'Anlier en Ardenne"$30
"Circuit des mégalithes"$urn:val:etatedit:30$Publiable$Publicabel$Publishable$Publizierbar$8$Itinéraire$Route$Route$Route$$$$1075$83012$6940$Wéris$Wéris$Wéris$Wéris$Durbuy$Durbuy$Durbuy$Durbuy$"Place A. Soreil"$urn:val:adrprov:bewlx$Luxembourg$Luxemburg$Luxembourg$Luxemburg$urn:val:adrpays:be$Belgique$België$Belgium$Belgien$232808,5$113399,703125$50,3263$5,53044$277,30426$false$"Hors Parcs"$1$Famenne-Ardenne$35
"Balade des Huttes"$urn:val:etatedit:30$Publiable$Publicabel$Publishable$Publizierbar$8$Itinéraire$Route$Route$Route$"Route de Champlon"$$$1061$83040$6950$Nassogne$Nassogne$Nassogne$Nassogne$Nassogne$Nassogne$Nassogne$Nassogne$"Pavillon du Laid Trou"$urn:val:adrprov:bewlx$Luxembourg$Luxemburg$Luxembourg$Luxemburg$urn:val:adrpays:be$Belgique$België$Belgium$Belgien$219606,609375$91253,5234375$50,12893$5,34098$380,02777$false$"Hors Parcs"$1$Famenne-Ardenne$35
"Fond Wenin"$urn:val:etatedit:30$Publiable$Publicabel$Publishable$Publizierbar$8$Itinéraire$Route$Route$Route$$$$1075$83012$6940$Wéris$Wéris$Wéris$Wéris$Durbuy$Durbuy$Durbuy$Durbuy$"Place A. Soreil"$urn:val:adrprov:bewlx$Luxembourg$Luxemburg$Luxembourg$Luxemburg$urn:val:adrpays:be$Belgique$België$Belgium$Belgien$232808,5$113399,703125$50,3263$5,53044$277,30426$false$"Hors Parcs"$1$Famenne-Ardenne$35
"Promenade du Daguet"$urn:val:etatedit:30$Publiable$Publicabel$Publishable$Publizierbar$8$Itinéraire$Route$Route$Route$"Chemin du Moulin"$3$$973$81013$6630$Martelange$Martelange$Martelange$Martelingen$Martelange$Martelange$Martelange$Martelingen$"Syndicat d'Initiative"$urn:val:adrprov:bewlx$Luxembourg$Luxemburg$Luxembourg$Luxemburg$urn:val:adrpays:be$Belgique$België$Belgium$Belgien$248396,765625$58521,24609375$49,83061$5,73512$369,6279$false$"Parc naturel de la Haute-Sûre et de la forêt d'Anlier"$10$"Haute-Süre Forêt d'Anlier en Ardenne"$30
"Promenade pédestre 13 (Daphnée)"$urn:val:etatedit:30$Publiable$Publicabel$Publishable$Publizierbar$8$Itinéraire$Route$Route$Route$"Rue du Gerny"$$$1050$83034$6900$Humain$Humain$Humain$Humain$Marche-en-Famenne$Marche-en-Famenne$Marche-en-Famenne$Marche-en-Famenne$"Eglise St-Martin à Humain"$urn:val:adrprov:bewlx$Luxembourg$Luxemburg$Luxembourg$Luxemburg$urn:val:adrpays:be$Belgique$België$Belgium$Belgien$213316,71875$99274,1875$50,20174$5,25436$259,7849$false$"Hors Parcs"$1$Famenne-Ardenne$35
"Thier de Fôret"$urn:val:etatedit:30$Publiable$Publicabel$Publishable$Publizierbar$8$Itinéraire$Route$Route$Route$$$$1033$83012$6940$Durbuy$Durbuy$Durbuy$Durbuy$Durbuy$Durbuy$Durbuy$Durbuy$"Syndicat d'Initiative"$urn:val:adrprov:bewlx$Luxembourg$Luxemburg$Luxembourg$Luxemburg$urn:val:adrpays:be$Belgique$België$Belgium$Belgien$228591,1875$114733,609375$50,33887$5,4715$190,43045$false$"Hors Parcs"$1$Famenne-Ardenne$35
"Promenade de l’œil qui chante"$urn:val:etatedit:30$Publiable$Publicabel$Publishable$Publizierbar$8$Itinéraire$Route$Route$Route$"Chemin du Moulin"$3$$973$81013$6630$Martelange$Martelange$Martelange$Martelingen$Martelange$Martelange$Martelange$Martelingen$"Syndicat d'Initiative"$urn:val:adrprov:bewlx$Luxembourg$Luxemburg$Luxembourg$Luxemburg$urn:val:adrpays:be$Belgique$België$Belgium$Belgien$248396,765625$58521,24609375$49,83061$5,73512$369,6279$false$"Parc naturel de la Haute-Sûre et de la forêt d'Anlier"$10$"Haute-Süre Forêt d'Anlier en Ardenne"$30
"ParcOtrot 3"$urn:val:etatedit:30$Publiable$Publicabel$Publishable$Publizierbar$8$Itinéraire$Route$Route$Route$$$$973$81013$6630$Martelange$Martelange$Martelange$Martelingen$Martelange$Martelange$Martelange$Martelingen$$urn:val:adrprov:bewlx$Luxembourg$Luxemburg$Luxembourg$Luxemburg$urn:val:adrpays:be$Belgique$België$Belgium$Belgien$247462,78125$56703,05859375$49,81442$5,72168$493,89944$false$"Parc naturel de la Haute-Sûre et de la forêt d'Anlier"$10$"Haute-Süre Forêt d'Anlier en Ardenne"$30
"ParcOtrot 4"$urn:val:etatedit:30$Publiable$Publicabel$Publishable$Publizierbar$8$Itinéraire$Route$Route$Route$$$$973$81013$6630$Martelange$Martelange$Martelange$Martelingen$Martelange$Martelange$Martelange$Martelingen$$urn:val:adrprov:bewlx$Luxembourg$Luxemburg$Luxembourg$Luxemburg$urn:val:adrpays:be$Belgique$België$Belgium$Belgien$247462,78125$56703,05859375$49,81442$5,72168$493,89944$false$"Parc naturel de la Haute-Sûre et de la forêt d'Anlier"$10$"Haute-Süre Forêt d'Anlier en Ardenne"$30
"Thier de Palenge"$urn:val:etatedit:30$Publiable$Publicabel$Publishable$Publizierbar$8$Itinéraire$Route$Route$Route$$$$1033$83012$6940$Durbuy$Durbuy$Durbuy$Durbuy$Durbuy$Durbuy$Durbuy$Durbuy$"Syndicat d'Initiative"$urn:val:adrprov:bewlx$Luxembourg$Luxemburg$Luxembourg$Luxemburg$urn:val:adrpays:be$Belgique$België$Belgium$Belgien$228591,1875$114733,609375$50,33887$5,4715$190,43045$false$"Hors Parcs"$1$Famenne-Ardenne$35
"Promenade des Souvenirs - court"$urn:val:etatedit:30$Publiable$Publicabel$Publishable$Publizierbar$8$Itinéraire$Route$Route$Route$"Chemin du Moulin"$3$$973$81013$6630$Martelange$Martelange$Martelange$Martelingen$Martelange$Martelange$Martelange$Martelingen$"Syndicat d'Initiative"$urn:val:adrprov:bewlx$Luxembourg$Luxemburg$Luxembourg$Luxemburg$urn:val:adrpays:be$Belgique$België$Belgium$Belgien$248396,765625$58521,24609375$49,83061$5,73512$369,6279$false$"Parc naturel de la Haute-Sûre et de la forêt d'Anlier"$10$"Haute-Süre Forêt d'Anlier en Ardenne"$30
"ParcOtrot 5"$urn:val:etatedit:30$Publiable$Publicabel$Publishable$Publizierbar$8$Itinéraire$Route$Route$Route$$$$1107$82036$6642$Juseret$Juseret$Juseret$Juseret$Vaux-sur-Sûre$Vaux-sur-Sûre$Vaux-sur-Sûre$Vaux-sur-Sûre$$urn:val:adrprov:bewlx$Luxembourg$Luxemburg$Luxembourg$Luxemburg$urn:val:adrpays:be$Belgique$België$Belgium$Belgien$233618,34375$65184,41015625$49,89277$5,5312$479,35226$false$"Parc naturel de la Haute-Sûre et de la forêt d'Anlier"$10$"Haute-Süre Forêt d'Anlier en Ardenne"$30
"Bois d'Enneille"$urn:val:etatedit:30$Publiable$Publicabel$Publishable$Publizierbar$8$Itinéraire$Route$Route$Route$$$$1033$83012$6940$Durbuy$Durbuy$Durbuy$Durbuy$Durbuy$Durbuy$Durbuy$Durbuy$"carrefour près de l'église"$urn:val:adrprov:bewlx$Luxembourg$Luxemburg$Luxembourg$Luxemburg$urn:val:adrpays:be$Belgique$België$Belgium$Belgien$228591,1875$114733,609375$50,33887$5,4715$190,43045$false$"Hors Parcs"$1$Famenne-Ardenne$35
"Promenade du Belvédère"$urn:val:etatedit:30$Publiable$Publicabel$Publishable$Publizierbar$8$Itinéraire$Route$Route$Route$"Chemin du Moulin"$3$$973$81013$6630$Martelange$Martelange$Martelange$Martelingen$Martelange$Martelange$Martelange$Martelingen$"Syndicat d'Initiative"$urn:val:adrprov:bewlx$Luxembourg$Luxemburg$Luxembourg$Luxemburg$urn:val:adrpays:be$Belgique$België$Belgium$Belgien$248396,765625$58521,24609375$49,83061$5,73512$369,6279$false$"Parc naturel de la Haute-Sûre et de la forêt d'Anlier"$10$"Haute-Süre Forêt d'Anlier en Ardenne"$30
"Circuit équestre 1"$urn:val:etatedit:30$Publiable$Publicabel$Publishable$Publizierbar$8$Itinéraire$Route$Route$Route$$$$992$82009$6637$Fauvillers$Fauvillers$Fauvillers$Feitweiler$Fauvillers$Fauvillers$Fauvillers$Feitweiler$$urn:val:adrprov:bewlx$Luxembourg$Luxemburg$Luxembourg$Luxemburg$urn:val:adrpays:be$Belgique$België$Belgium$Belgien$246456,546875$64100,79296875$49,88108$5,70956$463,54364$false$"Parc naturel de la Haute-Sûre et de la forêt d'Anlier"$10$"Haute-Süre Forêt d'Anlier en Ardenne"$30
"Verlaine, promenade 10"$urn:val:etatedit:30$Publiable$Publicabel$Publishable$Publizierbar$8$Itinéraire$Route$Route$Route$$$$1071$83012$6941$Tohogne$Tohogne$Tohogne$Tohogne$Durbuy$Durbuy$Durbuy$Durbuy$"La laiterie"$urn:val:adrprov:bewlx$Luxembourg$Luxemburg$Luxembourg$Luxemburg$urn:val:adrpays:be$Belgique$België$Belgium$Belgien$229137,28125$119294,796875$50,3798$5,48013$240,70485$false$"Hors Parcs"$1$Famenne-Ardenne$35
"Promenade des Romains"$urn:val:etatedit:30$Publiable$Publicabel$Publishable$Publizierbar$8$Itinéraire$Route$Route$Route$"Chemin du Moulin"$3$$973$81013$6630$Martelange$Martelange$Martelange$Martelingen$Martelange$Martelange$Martelange$Martelingen$"Syndicat d'Initiative"$urn:val:adrprov:bewlx$Luxembourg$Luxemburg$Luxembourg$Luxemburg$urn:val:adrpays:be$Belgique$België$Belgium$Belgien$248396,765625$58521,24609375$49,83061$5,73512$369,6279$false$"Parc naturel de la Haute-Sûre et de la forêt d'Anlier"$10$"Haute-Süre Forêt d'Anlier en Ardenne"$30
"Promenade n° 1 - sentier didactique"$urn:val:etatedit:30$Publiable$Publicabel$Publishable$Publizierbar$8$Itinéraire$Route$Route$Route$$$$1061$83040$6950$Nassogne$Nassogne$Nassogne$Nassogne$Nassogne$Nassogne$Nassogne$Nassogne$$urn:val:adrprov:bewlx$Luxembourg$Luxemburg$Luxembourg$Luxemburg$urn:val:adrpays:be$Belgique$België$Belgium$Belgien$221629,484375$90258,171875$50,11974$5,36908$444,36935$false$"Hors Parcs"$1$Famenne-Ardenne$35
"Le chêne à l'image, promenade 4"$urn:val:etatedit:30$Publiable$Publicabel$Publishable$Publizierbar$8$Itinéraire$Route$Route$Route$$$$3182$83012$6940$Petit-Han$Petit-Han$Petit-Han$Petit-Han$Durbuy$Durbuy$Durbuy$Durbuy$"terrain de football"$urn:val:adrprov:bewlx$Luxembourg$Luxemburg$Luxembourg$Luxemburg$urn:val:adrpays:be$Belgique$België$Belgium$Belgien$228591,1875$114733,609375$50,33887$5,4715$190,43045$false$"Hors Parcs"$1$Famenne-Ardenne$35
"Promenade Derrière le Bois"$urn:val:etatedit:30$Publiable$Publicabel$Publishable$Publizierbar$8$Itinéraire$Route$Route$Route$"Rue du Cimetière"$$$1205$83040$6953$Ambly$Ambly$Ambly$Ambly$Nassogne$Nassogne$Nassogne$Nassogne$Eglise$urn:val:adrprov:bewlx$Luxembourg$Luxemburg$Luxembourg$Luxemburg$urn:val:adrpays:be$Belgique$België$Belgium$Belgien$217597,46875$92634,6875$50,14158$5,31313$247,59644$false$"Hors Parcs"$1$Famenne-Ardenne$35
"ParcOtrot 6"$urn:val:etatedit:30$Publiable$Publicabel$Publishable$Publizierbar$8$Itinéraire$Route$Route$Route$$$$1107$82036$6642$Juseret$Juseret$Juseret$Juseret$Vaux-sur-Sûre$Vaux-sur-Sûre$Vaux-sur-Sûre$Vaux-sur-Sûre$$urn:val:adrprov:bewlx$Luxembourg$Luxemburg$Luxembourg$Luxemburg$urn:val:adrpays:be$Belgique$België$Belgium$Belgien$233618,34375$65184,41015625$49,89277$5,5312$479,35226$false$"Parc naturel de la Haute-Sûre et de la forêt d'Anlier"$10$"Haute-Süre Forêt d'Anlier en Ardenne"$30
"Pont le Prêtre, promenade 11"$urn:val:etatedit:30$Publiable$Publicabel$Publishable$Publizierbar$8$Itinéraire$Route$Route$Route$$$$1051$83012$6941$Izier$Izier$Izier$Izier$Durbuy$Durbuy$Durbuy$Durbuy$Eglise$urn:val:adrprov:bewlx$Luxembourg$Luxemburg$Luxembourg$Luxemburg$urn:val:adrpays:be$Belgique$België$Belgium$Belgien$231068,984375$119503,1796875$50,38141$5,50733$238,1781$false$"Hors Parcs"$1$Famenne-Ardenne$35
"Promenade de Javingue"$urn:val:etatedit:30$Publiable$Publicabel$Publishable$Publizierbar$8$Itinéraire$Route$Route$Route$"Rue de la Prée"$$$1205$83040$6953$Ambly$Ambly$Ambly$Ambly$Nassogne$Nassogne$Nassogne$Nassogne$Eglise$urn:val:adrprov:bewlx$Luxembourg$Luxemburg$Luxembourg$Luxemburg$urn:val:adrpays:be$Belgique$België$Belgium$Belgien$217730,875$92657,609375$50,14177$5,315$251,67557$false$"Hors Parcs"$1$Famenne-Ardenne$35
"ParcOtrot 7"$urn:val:etatedit:30$Publiable$Publicabel$Publishable$Publizierbar$8$Itinéraire$Route$Route$Route$$$$1077$85046$6721$Anlier$Anlier$Anlier$Anlier$Habay$Habay$Habay$Habay$$urn:val:adrprov:bewlx$Luxembourg$Luxemburg$Luxembourg$Luxemburg$urn:val:adrpays:be$Belgique$België$Belgium$Belgien$239985,3125$51288,9375$49,76693$5,61654$455,00766$false$"Parc naturel de la Haute-Sûre et de la forêt d'Anlier"$10$"Haute-Süre Forêt d'Anlier en Ardenne"$30
"Ferme de Strasbourg, promenade 12"$urn:val:etatedit:30$Publiable$Publicabel$Publishable$Publizierbar$8$Itinéraire$Route$Route$Route$$$$1073$83012$6941$Villers-Sainte-Gertrude$Villers-Sainte-Gertrude$Villers-Sainte-Gertrude$Villers-Sainte-Gertrude$Durbuy$Durbuy$Durbuy$Durbuy$"Devant le château"$urn:val:adrprov:bewlx$Luxembourg$Luxemburg$Luxembourg$Luxemburg$urn:val:adrpays:be$Belgique$België$Belgium$Belgien$236192,640625$117291,84375$50,3608$5,57885$261,92664$false$"Hors Parcs"$1$Famenne-Ardenne$35
"Promenade de la Salette"$urn:val:etatedit:30$Publiable$Publicabel$Publishable$Publizierbar$8$Itinéraire$Route$Route$Route$$$$1024$83040$6951$Bande$Bande$Bande$Bande$Nassogne$Nassogne$Nassogne$Nassogne$Eglise$urn:val:adrprov:bewlx$Luxembourg$Luxemburg$Luxembourg$Luxemburg$urn:val:adrpays:be$Belgique$België$Belgium$Belgien$225957,890625$93177,203125$50,14544$5,43018$381,6339$false$"Hors Parcs"$1$Famenne-Ardenne$35
